gene	logFC	logCPM	LR	PValue	FDR	de_family	de_method	de_type
Gm27032	-3.038549336	5.392918761	1924.531519	0	0	pseudobulk	edgeR	LRT
Mir181a-1hg	2.588984936	7.883781542	3697.197357	0	0	pseudobulk	edgeR	LRT
2810049E08Rik	2.223990921	6.682803859	2646.380322	0	0	pseudobulk	edgeR	LRT
Gm3764	1.553477631	7.728379371	2133.487395	0	0	pseudobulk	edgeR	LRT
Mirg	1.552519591	7.634357321	2172.341869	0	0	pseudobulk	edgeR	LRT
C130071C03Rik	1.461222359	9.128390486	2058.29354	0	0	pseudobulk	edgeR	LRT
Lncpint	1.188875134	10.21379425	1667.990918	0	0	pseudobulk	edgeR	LRT
B830012L14Rik	0.990520111	8.749629561	1326.499886	1.97E-290	6.00E-287	pseudobulk	edgeR	LRT
Gm20732	1.649367305	6.123601005	1270.971948	2.30E-278	6.23E-275	pseudobulk	edgeR	LRT
Mir9-3hg	1.060976347	7.73395267	1210.501233	3.18E-265	7.77E-262	pseudobulk	edgeR	LRT
Gm26936	2.285797911	4.777166186	1032.052675	1.94E-226	4.30E-223	pseudobulk	edgeR	LRT
Gm26652	1.741822976	5.81736619	1015.572761	7.40E-223	1.50E-219	pseudobulk	edgeR	LRT
Gm49317	0.824828345	9.10332407	920.9623447	2.72E-202	5.11E-199	pseudobulk	edgeR	LRT
Mir124a-1hg	0.783868813	8.911598458	835.8579815	8.63E-184	1.40E-180	pseudobulk	edgeR	LRT
Spaca6	1.28212643	6.197067329	733.0884484	1.91E-161	2.91E-158	pseudobulk	edgeR	LRT
Erdr1	-1.042494597	6.427682065	702.2399869	9.74E-155	1.40E-151	pseudobulk	edgeR	LRT
Gm9916	1.566242289	5.069978347	644.600759	3.34E-142	4.52E-139	pseudobulk	edgeR	LRT
AC149090.1	0.706364551	8.493718536	622.0555813	2.67E-137	3.43E-134	pseudobulk	edgeR	LRT
5330434G04Rik	0.748351095	7.794478002	543.3299474	3.56E-120	4.34E-117	pseudobulk	edgeR	LRT
Fah	0.558770626	8.667395324	486.6058876	7.80E-108	9.06E-105	pseudobulk	edgeR	LRT
Maml3	0.828360817	7.426969497	463.3378086	9.03E-103	1.00E-99	pseudobulk	edgeR	LRT
Gm49539	1.19331798	5.165628925	428.055054	4.31E-95	4.57E-92	pseudobulk	edgeR	LRT
Ftx	0.598545058	7.931234523	400.2730258	4.80E-89	4.88E-86	pseudobulk	edgeR	LRT
Gm28905	0.545595309	8.188001185	352.8706562	1.00E-78	9.80E-76	pseudobulk	edgeR	LRT
C78859	0.93436387	5.775605282	342.9921291	1.42E-76	1.33E-73	pseudobulk	edgeR	LRT
Gm10754	-0.877135013	5.941767265	339.2728021	9.19E-76	8.30E-73	pseudobulk	edgeR	LRT
Epha6	-0.443808906	9.466542639	327.11376	4.09E-73	3.56E-70	pseudobulk	edgeR	LRT
Gm49678	-0.521625942	7.719075906	296.2930586	2.12E-66	1.78E-63	pseudobulk	edgeR	LRT
Hspa8	0.543403225	7.47488187	288.9986657	8.22E-65	6.68E-62	pseudobulk	edgeR	LRT
Trpc5	-0.68573506	6.425661639	287.9293795	1.41E-64	1.11E-61	pseudobulk	edgeR	LRT
Lingo2	-0.528215913	10.54440414	280.2910786	6.49E-63	4.94E-60	pseudobulk	edgeR	LRT
Atp1b1	0.44296176	8.617077426	253.8495576	3.76E-57	2.78E-54	pseudobulk	edgeR	LRT
Slc24a2	0.409115919	10.02405058	253.2660543	5.04E-57	3.61E-54	pseudobulk	edgeR	LRT
Cdh12	0.615018701	8.236753222	237.1946859	1.61E-53	1.12E-50	pseudobulk	edgeR	LRT
Atp2a2	0.443371637	8.241951908	234.2729774	6.97E-53	4.72E-50	pseudobulk	edgeR	LRT
Tmem178	0.481099833	8.165788938	229.5819822	7.35E-52	4.85E-49	pseudobulk	edgeR	LRT
Pde10a	0.460955498	9.789810033	228.2522898	1.43E-51	9.20E-49	pseudobulk	edgeR	LRT
Gria2	0.323665806	10.72507378	224.0567885	1.18E-50	7.37E-48	pseudobulk	edgeR	LRT
Sparcl1	0.52317906	7.304658795	217.3444602	3.43E-49	2.09E-46	pseudobulk	edgeR	LRT
Dpyd	-0.620830848	7.052040045	216.1391528	6.29E-49	3.74E-46	pseudobulk	edgeR	LRT
Htr2c	0.684229805	6.27861386	213.4777608	2.39E-48	1.39E-45	pseudobulk	edgeR	LRT
Hs3st4	0.420496435	11.37158934	209.7423815	1.56E-47	8.87E-45	pseudobulk	edgeR	LRT
Pde4b	0.341054254	9.764707442	207.312834	5.30E-47	2.94E-44	pseudobulk	edgeR	LRT
Mir670hg	0.599302583	6.336816867	201.3015802	1.09E-45	5.88E-43	pseudobulk	edgeR	LRT
Rtl4	-0.560238196	7.430754641	195.8023455	1.72E-44	9.13E-42	pseudobulk	edgeR	LRT
Son	0.43295684	7.653672918	195.2535246	2.27E-44	1.18E-41	pseudobulk	edgeR	LRT
Chgb	0.520337805	7.39890993	193.3055846	6.04E-44	3.07E-41	pseudobulk	edgeR	LRT
Nrp1	0.391256443	8.035901526	190.2979343	2.74E-43	1.36E-40	pseudobulk	edgeR	LRT
Nckap5	-0.58862072	6.452077425	188.4243042	7.02E-43	3.42E-40	pseudobulk	edgeR	LRT
Vgf	0.588605646	5.904642812	174.4883201	7.74E-40	3.63E-37	pseudobulk	edgeR	LRT
Cfap77	0.695935105	5.340859214	174.2535637	8.71E-40	4.01E-37	pseudobulk	edgeR	LRT
Hmgcs1	-0.776141793	5.33463784	171.7928155	3.00E-39	1.33E-36	pseudobulk	edgeR	LRT
Pcdh9	0.329736786	13.01877638	170.5845603	5.51E-39	2.40E-36	pseudobulk	edgeR	LRT
Ckb	0.36294823	8.173299057	165.9779474	5.59E-38	2.39E-35	pseudobulk	edgeR	LRT
Bach2	0.381273611	7.823931917	156.0659171	8.19E-36	3.44E-33	pseudobulk	edgeR	LRT
Ddx5	0.371766237	8.103301997	155.5075271	1.08E-35	4.48E-33	pseudobulk	edgeR	LRT
Dcc	0.368896076	10.5708792	155.2604793	1.23E-35	4.99E-33	pseudobulk	edgeR	LRT
Kcnh5	0.507922992	6.577558347	153.525235	2.94E-35	1.18E-32	pseudobulk	edgeR	LRT
Cntnap5b	-0.482030124	7.960814691	149.6942432	2.02E-34	7.83E-32	pseudobulk	edgeR	LRT
Dtx3	0.456923462	7.207754609	145.5403468	1.64E-33	6.14E-31	pseudobulk	edgeR	LRT
Dlc1	0.357286508	8.825689643	144.2114726	3.19E-33	1.18E-30	pseudobulk	edgeR	LRT
Kmt2a	0.350467445	7.799307451	143.6684162	4.20E-33	1.53E-30	pseudobulk	edgeR	LRT
Dgkb	-0.386106901	8.329907811	142.8599353	6.31E-33	2.26E-30	pseudobulk	edgeR	LRT
Parm1	-0.567468263	6.102009134	141.3413636	1.35E-32	4.79E-30	pseudobulk	edgeR	LRT
Cdk8	0.318923133	8.696060249	141.0170234	1.60E-32	5.56E-30	pseudobulk	edgeR	LRT
Robo1	-0.287698647	10.4206837	139.1758999	4.03E-32	1.38E-29	pseudobulk	edgeR	LRT
Gm47283	-0.567310711	5.721201347	138.9549088	4.51E-32	1.53E-29	pseudobulk	edgeR	LRT
Stxbp6	-0.786824561	6.894159634	137.7874644	8.11E-32	2.71E-29	pseudobulk	edgeR	LRT
Tlcd2	0.749191973	4.775661581	137.6461689	8.71E-32	2.87E-29	pseudobulk	edgeR	LRT
Cntnap5c	-0.667114378	6.711366158	137.2657962	1.05E-31	3.43E-29	pseudobulk	edgeR	LRT
Nptx1	0.460937762	6.496524742	136.4991967	1.55E-31	4.98E-29	pseudobulk	edgeR	LRT
Oip5os1	0.530941431	5.828173277	134.6708888	3.90E-31	1.23E-28	pseudobulk	edgeR	LRT
Sema3e	0.46399959	7.120005452	133.971103	5.54E-31	1.73E-28	pseudobulk	edgeR	LRT
Slit1	0.429854387	6.687335829	133.2376334	8.02E-31	2.48E-28	pseudobulk	edgeR	LRT
Slit2	-0.452467738	6.907741545	133.0028232	9.03E-31	2.75E-28	pseudobulk	edgeR	LRT
Tmem132a	0.425834408	6.759996304	132.9735107	9.16E-31	2.76E-28	pseudobulk	edgeR	LRT
Scg3	0.488873088	6.383978255	132.8690508	9.66E-31	2.87E-28	pseudobulk	edgeR	LRT
Tenm3	-0.470186061	7.86365248	131.8579455	1.61E-30	4.67E-28	pseudobulk	edgeR	LRT
Gpm6a	0.28333919	9.698038323	131.7611967	1.69E-30	4.84E-28	pseudobulk	edgeR	LRT
Ubb	0.400090778	7.275669455	131.7248105	1.72E-30	4.87E-28	pseudobulk	edgeR	LRT
Foxp2	0.341862384	9.195414412	131.573428	1.85E-30	5.20E-28	pseudobulk	edgeR	LRT
Necab1	0.554138421	6.691680409	130.9246677	2.57E-30	7.13E-28	pseudobulk	edgeR	LRT
