gene	logFC	logCPM	LR	PValue	FDR	de_family	de_method	de_type
Mir181a-1hg	2.769280292	8.529598933	1692.931116	0	0	pseudobulk	edgeR	LRT
2810049E08Rik	2.184824088	7.741782169	939.2360953	2.90E-206	3.42E-202	pseudobulk	edgeR	LRT
Gm27032	-3.544196422	5.427349497	865.8845154	2.56E-190	2.01E-186	pseudobulk	edgeR	LRT
Mirg	1.732108326	8.105307476	832.1808296	5.44E-183	3.20E-179	pseudobulk	edgeR	LRT
Gm3764	1.909555949	8.051238006	780.7903993	8.10E-172	3.82E-168	pseudobulk	edgeR	LRT
C130071C03Rik	1.540067252	10.07897788	763.7893707	4.03E-168	1.58E-164	pseudobulk	edgeR	LRT
B830012L14Rik	1.244493668	9.061917593	551.2349588	6.78E-122	2.28E-118	pseudobulk	edgeR	LRT
Lncpint	1.18765814	9.920060532	527.5380353	9.70E-117	2.86E-113	pseudobulk	edgeR	LRT
Gm20732	1.628925132	6.264973585	400.6144741	4.05E-89	1.06E-85	pseudobulk	edgeR	LRT
Gm26936	2.337898585	5.234379582	385.8501175	6.63E-86	1.56E-82	pseudobulk	edgeR	LRT
Mir9-3hg	1.135972066	7.519819556	325.6478334	8.53E-73	1.83E-69	pseudobulk	edgeR	LRT
Vip	1.997586973	6.323811184	315.3896386	1.46E-70	2.87E-67	pseudobulk	edgeR	LRT
Spaca6	1.322945499	6.201007231	238.8286143	7.08E-54	1.19E-50	pseudobulk	edgeR	LRT
Mir124a-1hg	0.689943021	9.423459812	178.9580453	8.18E-41	1.29E-37	pseudobulk	edgeR	LRT
Sorcs3	0.748300716	8.375008867	176.5728156	2.71E-40	4.00E-37	pseudobulk	edgeR	LRT
Erdr1	-0.990485723	6.580494689	172.5569959	2.05E-39	2.83E-36	pseudobulk	edgeR	LRT
5330434G04Rik	0.712905516	9.146607401	163.4921287	1.95E-37	2.56E-34	pseudobulk	edgeR	LRT
Gm49539	1.091898843	5.32071065	138.14933	6.76E-32	8.38E-29	pseudobulk	edgeR	LRT
Gpc1	1.17317529	5.342003635	132.8110516	9.94E-31	1.17E-27	pseudobulk	edgeR	LRT
Vgf	0.762315999	6.402878943	129.2273722	6.05E-30	6.78E-27	pseudobulk	edgeR	LRT
Ftx	0.630037844	8.028084193	122.2762504	2.01E-28	2.06E-25	pseudobulk	edgeR	LRT
C78859	0.929981115	5.564976587	120.9819628	3.86E-28	3.79E-25	pseudobulk	edgeR	LRT
AC149090.1	0.643720567	8.293494218	115.9364282	4.91E-27	4.62E-24	pseudobulk	edgeR	LRT
Gm49317	0.71182761	9.341420245	112.1230523	3.36E-26	3.04E-23	pseudobulk	edgeR	LRT
Maml3	0.730981727	7.286729441	110.5380769	7.47E-26	6.52E-23	pseudobulk	edgeR	LRT
Mir670hg	0.969367079	6.121037595	108.8673371	1.74E-25	1.46E-22	pseudobulk	edgeR	LRT
Npy	0.872922085	6.078778056	107.1265442	4.18E-25	3.39E-22	pseudobulk	edgeR	LRT
Fah	0.528627582	8.660329847	105.1078938	1.16E-24	9.08E-22	pseudobulk	edgeR	LRT
Zbtb16	0.542282213	7.877543961	96.06266471	1.11E-22	8.46E-20	pseudobulk	edgeR	LRT
Adarb2	0.650527324	12.02945388	93.88427589	3.35E-22	2.46E-19	pseudobulk	edgeR	LRT
Prox1	0.773431632	5.577078557	92.3059799	7.43E-22	5.30E-19	pseudobulk	edgeR	LRT
Magi3	0.540634505	7.238749055	86.4406332	1.44E-20	9.98E-18	pseudobulk	edgeR	LRT
Kcnip2	-0.877050932	5.740603797	83.30327894	7.04E-20	4.74E-17	pseudobulk	edgeR	LRT
Lrmda	-1.295397526	4.915512864	74.2270772	6.96E-18	4.43E-15	pseudobulk	edgeR	LRT
Son	0.487092045	7.478503661	70.16166016	5.46E-17	3.39E-14	pseudobulk	edgeR	LRT
Srsf5	0.456530287	7.710577289	69.37899097	8.12E-17	4.91E-14	pseudobulk	edgeR	LRT
Ptprk	0.609237564	6.809421784	67.77113815	1.84E-16	1.08E-13	pseudobulk	edgeR	LRT
Rgs12	0.843892691	5.08350095	65.31751172	6.38E-16	3.58E-13	pseudobulk	edgeR	LRT
Arpp21	0.795154173	7.943137519	63.35014849	1.73E-15	9.48E-13	pseudobulk	edgeR	LRT
