gene	logFC	logCPM	LR	PValue	FDR	de_family	de_method	de_type
Gm27032	-3.021582531	5.171070755	2681.801922	0	0	pseudobulk	edgeR	LRT
Mir181a-1hg	2.384274605	7.243979854	3368.59427	0	0	pseudobulk	edgeR	LRT
2810049E08Rik	2.27232932	7.051550632	3941.367594	0	0	pseudobulk	edgeR	LRT
Gm26652	1.851268655	6.599764875	2362.420602	0	0	pseudobulk	edgeR	LRT
Gm20732	1.774120648	6.107607749	1717.559976	0	0	pseudobulk	edgeR	LRT
Mirg	1.574074418	7.447189256	2550.69048	0	0	pseudobulk	edgeR	LRT
C130071C03Rik	1.502527051	9.497010769	4127.994493	0	0	pseudobulk	edgeR	LRT
Gm3764	1.497299185	7.577022307	2319.581713	0	0	pseudobulk	edgeR	LRT
Lncpint	1.270914339	10.3022759	2877.707298	0	0	pseudobulk	edgeR	LRT
B830012L14Rik	1.115793978	8.621053724	1650.722861	0	0	pseudobulk	edgeR	LRT
Mir9-3hg	1.05615911	7.868366963	1493.018601	0	0	pseudobulk	edgeR	LRT
Mir124a-1hg	0.975076063	9.140068395	1602.509619	0	0	pseudobulk	edgeR	LRT
Gm49317	0.972287772	8.783340788	1571.571726	0	0	pseudobulk	edgeR	LRT
Spaca6	1.441748902	6.261735843	1272.830566	9.07E-279	1.58E-275	pseudobulk	edgeR	LRT
Gm9916	1.852319123	5.160465831	1078.976333	1.23E-236	1.99E-233	pseudobulk	edgeR	LRT
Erdr1	-1.100246561	6.32623515	828.4053548	3.60E-182	5.17E-179	pseudobulk	edgeR	LRT
C78859	1.202420193	5.733899163	727.258442	3.53E-160	4.79E-157	pseudobulk	edgeR	LRT
Ftx	0.708060283	8.14175265	716.9768859	6.08E-158	7.81E-155	pseudobulk	edgeR	LRT
AC149090.1	0.737452001	8.656753023	682.8113796	1.64E-150	1.90E-147	pseudobulk	edgeR	LRT
Gm49539	1.157222388	5.331622213	534.2771616	3.31E-118	3.68E-115	pseudobulk	edgeR	LRT
5330434G04Rik	0.784700396	7.387001526	533.3556697	5.26E-118	5.58E-115	pseudobulk	edgeR	LRT
Fah	0.542942271	8.632381346	491.7582076	5.91E-109	6.00E-106	pseudobulk	edgeR	LRT
Pde10a	0.537047249	9.891939582	413.421229	6.60E-92	6.44E-89	pseudobulk	edgeR	LRT
C1ql3	0.639886174	6.393787619	305.2136602	2.41E-68	2.18E-65	pseudobulk	edgeR	LRT
Dtx3	0.513089653	7.055727383	259.8564222	1.84E-58	1.57E-55	pseudobulk	edgeR	LRT
Hmgcs1	-0.884021185	5.134682233	259.8325309	1.87E-58	1.57E-55	pseudobulk	edgeR	LRT
Aopep	0.396870613	9.028617834	240.6395165	2.85E-54	2.24E-51	pseudobulk	edgeR	LRT
Slit2	-0.475009363	7.863259683	235.9628236	2.99E-53	2.28E-50	pseudobulk	edgeR	LRT
9530059O14Rik	0.405847137	8.301396622	234.5739527	6.00E-53	4.43E-50	pseudobulk	edgeR	LRT
Sparcl1	0.530258581	6.475322585	227.9716327	1.65E-51	1.18E-48	pseudobulk	edgeR	LRT
Gria2	0.326811946	10.42052904	217.3552286	3.41E-49	2.38E-46	pseudobulk	edgeR	LRT
Gm47283	-0.608110443	5.736491771	205.3557937	1.42E-46	9.60E-44	pseudobulk	edgeR	LRT
Son	0.409334322	7.531530004	202.3003652	6.57E-46	4.33E-43	pseudobulk	edgeR	LRT
Dach1	-0.65574856	5.335058946	199.7413717	2.38E-45	1.53E-42	pseudobulk	edgeR	LRT
Tafa1	0.41856186	9.492814458	196.7278404	1.08E-44	6.43E-42	pseudobulk	edgeR	LRT
Usp29	0.54448016	6.600711845	196.2893204	1.35E-44	7.83E-42	pseudobulk	edgeR	LRT
Tlcd2	0.777427456	4.857159586	192.9290502	7.29E-44	4.14E-41	pseudobulk	edgeR	LRT
Sntb2	0.440507865	7.4623546	184.6051834	4.79E-42	2.59E-39	pseudobulk	edgeR	LRT
Arid5b	0.404896782	7.577541381	179.8948153	5.11E-41	2.71E-38	pseudobulk	edgeR	LRT
Gm11683	0.564497376	5.945683884	176.4320455	2.91E-40	1.51E-37	pseudobulk	edgeR	LRT
Atp1b1	0.342186792	8.174298531	176.3996547	2.96E-40	1.51E-37	pseudobulk	edgeR	LRT
R3hdm1	0.30792189	10.75637677	173.1033926	1.55E-39	7.58E-37	pseudobulk	edgeR	LRT
Chpf2	0.534382988	5.799825493	163.8593381	1.62E-37	7.77E-35	pseudobulk	edgeR	LRT
Malat1	0.253941042	14.73043345	160.3616027	9.43E-37	4.34E-34	pseudobulk	edgeR	LRT
Slc39a10	0.355378596	7.552810755	159.1874738	1.70E-36	7.69E-34	pseudobulk	edgeR	LRT
Hmgcr	-0.467624991	6.367555336	157.9726056	3.14E-36	1.39E-33	pseudobulk	edgeR	LRT
Sorcs1	0.319802041	8.902815062	155.4765996	1.10E-35	4.80E-33	pseudobulk	edgeR	LRT
Grin2b	0.265146597	10.65993523	153.5349123	2.93E-35	1.23E-32	pseudobulk	edgeR	LRT
Pex5l	0.303944503	9.636995766	150.8635588	1.12E-34	4.64E-32	pseudobulk	edgeR	LRT
Galnt13	-0.299166122	8.737515748	150.0066308	1.73E-34	7.02E-32	pseudobulk	edgeR	LRT
Gria1	0.28193227	9.601282941	147.980936	4.79E-34	1.92E-31	pseudobulk	edgeR	LRT
Mir670hg	0.617478569	5.93569061	146.2442112	1.15E-33	4.52E-31	pseudobulk	edgeR	LRT
Zbtb16	0.357367693	7.664591605	144.5420255	2.70E-33	1.05E-30	pseudobulk	edgeR	LRT
Cdk8	0.31564278	8.576185407	143.8086778	3.91E-33	1.48E-30	pseudobulk	edgeR	LRT
Maml3	0.555881518	7.143325609	143.7961128	3.94E-33	1.48E-30	pseudobulk	edgeR	LRT
Hs3st5	-0.378112581	7.097804656	141.7010323	1.13E-32	4.12E-30	pseudobulk	edgeR	LRT
Aplp1	0.39184196	7.042681887	141.4507599	1.28E-32	4.60E-30	pseudobulk	edgeR	LRT
Gm28905	0.459365049	7.746146152	140.9568456	1.64E-32	5.81E-30	pseudobulk	edgeR	LRT
Mef2c	0.244334458	10.47905831	136.3718358	1.65E-31	5.77E-29	pseudobulk	edgeR	LRT
Kmt2a	0.324608447	7.815169376	134.1282153	5.12E-31	1.76E-28	pseudobulk	edgeR	LRT
Igsf8	0.431870881	6.485753909	133.1684619	8.31E-31	2.78E-28	pseudobulk	edgeR	LRT
Cfap77	0.604317587	5.291075766	133.0159979	8.97E-31	2.96E-28	pseudobulk	edgeR	LRT
Hspa8	0.372064354	7.372772142	131.8857393	1.58E-30	5.15E-28	pseudobulk	edgeR	LRT
Meg3	0.230992941	11.78910663	129.2156277	6.08E-30	1.93E-27	pseudobulk	edgeR	LRT
Large1	0.246543744	9.982291549	128.6583954	8.06E-30	2.52E-27	pseudobulk	edgeR	LRT
Eda	-0.503613502	5.815156972	127.6872663	1.31E-29	4.06E-27	pseudobulk	edgeR	LRT
Srebf2	-0.458951274	5.973415194	125.3137073	4.35E-29	1.32E-26	pseudobulk	edgeR	LRT
