gene	logFC	logCPM	LR	PValue	FDR	de_family	de_method	de_type
Mirg	1.901800595	8.296119819	555.9209472	6.49E-123	2.85E-119	pseudobulk	edgeR	LRT
C130071C03Rik	1.375183743	9.102645592	361.8744209	1.10E-80	2.42E-77	pseudobulk	edgeR	LRT
Mir124a-1hg	0.921738912	8.631174211	201.2744738	1.10E-45	1.61E-42	pseudobulk	edgeR	LRT
Gm3764	1.359017508	8.152812987	185.3148604	3.35E-42	3.68E-39	pseudobulk	edgeR	LRT
Gm27032	-2.451563403	6.471450827	183.2839877	9.30E-42	8.17E-39	pseudobulk	edgeR	LRT
Lncpint	0.963124448	10.44866339	181.5231155	2.25E-41	1.65E-38	pseudobulk	edgeR	LRT
Gm49317	0.83744534	9.069317699	131.1748402	2.27E-30	1.42E-27	pseudobulk	edgeR	LRT
B830012L14Rik	1.052119129	8.874939494	124.3408525	7.09E-29	3.89E-26	pseudobulk	edgeR	LRT
Mir9-3hg	0.977378029	7.780562989	119.0586547	1.02E-27	4.96E-25	pseudobulk	edgeR	LRT
Spaca6	1.153663241	6.113117158	116.9967033	2.88E-27	1.26E-24	pseudobulk	edgeR	LRT
C78859	0.939217795	6.243978406	87.7507116	7.42E-21	2.96E-18	pseudobulk	edgeR	LRT
Ftx	0.677851885	8.135157944	81.27133391	1.97E-19	7.20E-17	pseudobulk	edgeR	LRT
5330434G04Rik	0.811412904	8.28331882	61.61404925	4.18E-15	1.41E-12	pseudobulk	edgeR	LRT
Hmgcs1	-0.794022142	5.766442954	31.22900008	2.29E-08	7.19E-06	pseudobulk	edgeR	LRT
Meg3	0.231063346	13.02522519	29.71195135	5.01E-08	1.47E-05	pseudobulk	edgeR	LRT
9530059O14Rik	0.448069911	8.835234197	26.20097821	3.08E-07	8.45E-05	pseudobulk	edgeR	LRT
Rgs20	-0.659983975	6.430130519	21.40809221	3.71E-06	0.000959009	pseudobulk	edgeR	LRT
Sik2	0.331265244	8.0279384	20.70156783	5.37E-06	0.001309598	pseudobulk	edgeR	LRT
Rgs4	-0.576603915	5.914231353	19.50694949	1.00E-05	0.002316996	pseudobulk	edgeR	LRT
Rpl37a	-0.642705644	5.615041397	16.57430207	4.68E-05	0.010273027	pseudobulk	edgeR	LRT
Cog5	0.280724086	7.843756003	16.21302283	5.66E-05	0.011301084	pseudobulk	edgeR	LRT
Map2k1	-0.51128718	6.078180491	16.21286609	5.66E-05	0.011301084	pseudobulk	edgeR	LRT
Tnrc6c	0.28750991	8.225010592	16.08037639	6.07E-05	0.011592949	pseudobulk	edgeR	LRT
Zkscan16	-0.574653424	5.570632259	14.9084029	0.000112859	0.020653226	pseudobulk	edgeR	LRT
Trpm3	-0.649851518	7.082931332	14.5496999	0.00013651	0.023982146	pseudobulk	edgeR	LRT
