gene	logFC	logCPM	LR	PValue	FDR	de_family	de_method	de_type
Mirg	1.792418327	8.567597267	741.3866215	2.99E-163	1.38E-159	pseudobulk	edgeR	LRT
Mir181a-1hg	2.368629564	7.456377198	395.9965443	4.10E-88	9.46E-85	pseudobulk	edgeR	LRT
2810049E08Rik	2.20942807	7.657686739	387.2252719	3.33E-86	5.12E-83	pseudobulk	edgeR	LRT
C130071C03Rik	1.317658484	10.00947097	352.9259354	9.77E-79	1.13E-75	pseudobulk	edgeR	LRT
Lncpint	0.968916779	9.98686257	323.1344657	3.01E-72	2.78E-69	pseudobulk	edgeR	LRT
Gm20732	1.536186307	6.386814309	280.0855325	7.19E-63	5.53E-60	pseudobulk	edgeR	LRT
Gm27032	-2.499613828	6.472974403	261.6747936	7.40E-59	4.88E-56	pseudobulk	edgeR	LRT
Mir124a-1hg	0.973076985	9.325236	245.9469639	1.99E-55	1.15E-52	pseudobulk	edgeR	LRT
B830012L14Rik	1.22451275	9.003673645	204.8372857	1.84E-46	9.43E-44	pseudobulk	edgeR	LRT
Gm3764	1.375835989	8.194271926	198.2252398	5.09E-45	2.35E-42	pseudobulk	edgeR	LRT
Spaca6	1.261259269	6.461050192	166.3299182	4.69E-38	1.97E-35	pseudobulk	edgeR	LRT
Mir9-3hg	1.015684655	7.547876021	149.4386721	2.30E-34	8.85E-32	pseudobulk	edgeR	LRT
5330434G04Rik	0.733209359	9.760271382	145.0735339	2.07E-33	7.35E-31	pseudobulk	edgeR	LRT
Gm49317	0.581055218	9.292270228	68.30749335	1.40E-16	4.61E-14	pseudobulk	edgeR	LRT
C78859	0.841664568	6.341052462	64.17782044	1.14E-15	3.50E-13	pseudobulk	edgeR	LRT
Prkg1	-0.561480258	8.574171667	27.84499164	1.31E-07	3.79E-05	pseudobulk	edgeR	LRT
5031439G07Rik	0.524692743	6.554942947	26.09251807	3.25E-07	8.84E-05	pseudobulk	edgeR	LRT
Ftx	0.398657549	8.163562224	25.84399469	3.70E-07	9.49E-05	pseudobulk	edgeR	LRT
Mir670hg	1.325292783	7.352259763	25.36197481	4.75E-07	0.000109863	pseudobulk	edgeR	LRT
Fstl5	-0.539410695	7.751641731	25.35867237	4.76E-07	0.000109863	pseudobulk	edgeR	LRT
Inpp5j	0.42562217	6.9545537	24.52018263	7.35E-07	0.000161638	pseudobulk	edgeR	LRT
Camta1	0.301254054	9.538698557	23.00370831	1.62E-06	0.000339253	pseudobulk	edgeR	LRT
Gm15155	-0.715624997	6.150180783	22.86432181	1.74E-06	0.000348908	pseudobulk	edgeR	LRT
Zfp697	-0.435195139	6.963829058	22.6187171	1.98E-06	0.000379956	pseudobulk	edgeR	LRT
Meg3	0.240156576	13.11106867	21.98993748	2.74E-06	0.000506068	pseudobulk	edgeR	LRT
Chchd3	0.258256751	8.627984449	20.65132642	5.51E-06	0.000978219	pseudobulk	edgeR	LRT
Ccnh	-0.385591067	6.629285674	20.1991999	6.98E-06	0.001193016	pseudobulk	edgeR	LRT
Nup93	0.324202362	7.625190247	19.83432071	8.45E-06	0.001392262	pseudobulk	edgeR	LRT
Acsl3	-0.373376908	6.837178915	19.68960778	9.11E-06	0.001449988	pseudobulk	edgeR	LRT
Arl15	0.264540192	8.923302594	19.43426751	1.04E-05	0.00160209	pseudobulk	edgeR	LRT
Tmem132c	0.339599504	7.768327154	19.2794692	1.13E-05	0.001681326	pseudobulk	edgeR	LRT
Syt2	0.572269829	7.245145432	18.92921881	1.36E-05	0.00195688	pseudobulk	edgeR	LRT
Myo16	0.316127649	8.606141964	18.83285369	1.43E-05	0.001995903	pseudobulk	edgeR	LRT
Tnr	0.272316458	9.434030876	18.33400654	1.85E-05	0.002516651	pseudobulk	edgeR	LRT
Slc6a17	0.331425525	7.891460896	18.09835094	2.10E-05	0.002766739	pseudobulk	edgeR	LRT
Pde10a	0.286259589	10.1451774	18.00778937	2.20E-05	0.002820926	pseudobulk	edgeR	LRT
Scn8a	0.248713983	8.715468866	17.85219844	2.39E-05	0.002978484	pseudobulk	edgeR	LRT
Snca	-0.568281583	6.032245207	17.71683801	2.56E-05	0.003113947	pseudobulk	edgeR	LRT
Osbpl6	0.225150876	8.707895647	16.96902982	3.80E-05	0.004496997	pseudobulk	edgeR	LRT
Bckdhb	0.265717189	8.320077929	16.87973649	3.98E-05	0.004595744	pseudobulk	edgeR	LRT
R3hdm2	0.347108559	8.005743946	16.73617091	4.30E-05	0.004836015	pseudobulk	edgeR	LRT
Myo1e	0.451183021	7.168262235	16.54349564	4.75E-05	0.005225619	pseudobulk	edgeR	LRT
Traf3	0.359722567	7.129944464	16.33128872	5.32E-05	0.005708664	pseudobulk	edgeR	LRT
Kcnma1	0.274888051	10.87096253	16.12237611	5.94E-05	0.006144376	pseudobulk	edgeR	LRT
Rnf144b	0.323714204	7.962644238	16.10581966	5.99E-05	0.006144376	pseudobulk	edgeR	LRT
Cacna2d2	0.323593164	7.578874861	15.32847613	9.03E-05	0.00906586	pseudobulk	edgeR	LRT
Syt16	-0.353927449	7.165203145	14.66797643	0.000128206	0.012591472	pseudobulk	edgeR	LRT
Abat	0.294318528	7.531018666	14.51628243	0.000138953	0.013362679	pseudobulk	edgeR	LRT
Slc44a5	-0.49110659	7.829259391	14.42486989	0.000145863	0.013740911	pseudobulk	edgeR	LRT
Pdzrn4	-0.486554893	7.101777475	14.14266738	0.000169456	0.015595866	pseudobulk	edgeR	LRT
Pnkd	0.336885756	7.181900589	14.11123686	0.000172311	0.015595866	pseudobulk	edgeR	LRT
Srrm4	0.233767298	8.934014902	14.06512231	0.000176588	0.015675597	pseudobulk	edgeR	LRT
Gm1604b	0.273577362	7.503594574	13.83140078	0.000199966	0.017359563	pseudobulk	edgeR	LRT
Fhod3	0.272905471	7.673614385	13.8023708	0.00020308	0.017359563	pseudobulk	edgeR	LRT
Pitpnc1	0.298133141	8.147207791	13.72318156	0.000211824	0.017644458	pseudobulk	edgeR	LRT
Rbfox2	0.196646268	8.718150239	13.70347936	0.000214058	0.017644458	pseudobulk	edgeR	LRT
Fnbp1l	-0.305780808	7.559910387	13.36612542	0.00025621	0.020748525	pseudobulk	edgeR	LRT
Snx10	-0.387573137	6.216597066	13.29722772	0.000265799	0.021153922	pseudobulk	edgeR	LRT
Mir124-2hg	-0.300147932	7.318643096	12.98356586	0.000314237	0.024585046	pseudobulk	edgeR	LRT
Enox1	0.218504381	10.46870361	12.8038508	0.000345907	0.026380439	pseudobulk	edgeR	LRT
Alcam	-0.334461777	8.861621983	12.78926	0.000348615	0.026380439	pseudobulk	edgeR	LRT
Pard3	-0.286069311	7.327662434	12.69101432	0.000367417	0.027354782	pseudobulk	edgeR	LRT
Dlat	0.298830761	7.207190168	12.54570435	0.000397118	0.029096784	pseudobulk	edgeR	LRT
Tmem44	0.313025325	7.928052323	12.49168947	0.000408766	0.029482273	pseudobulk	edgeR	LRT
Kcna1	0.381720275	6.945106032	12.44136254	0.000419929	0.029790562	pseudobulk	edgeR	LRT
Ubash3b	0.238719572	8.658442223	12.41478416	0.000425948	0.029790562	pseudobulk	edgeR	LRT
Map2k1	-0.46203914	5.936964164	12.34259339	0.00044274	0.030480082	pseudobulk	edgeR	LRT
Foxn3	0.232587948	7.794873608	12.31632716	0.000449013	0.030480082	pseudobulk	edgeR	LRT
Ptprz1	-0.441281303	7.342179447	12.20733904	0.000476019	0.031844969	pseudobulk	edgeR	LRT
Pid1	-0.331574863	7.487362283	12.12980249	0.000496224	0.032722412	pseudobulk	edgeR	LRT
Dlx1as	-0.411231963	7.456023563	12.08529245	0.000508211	0.032821495	pseudobulk	edgeR	LRT
Atg4d	0.379305612	6.046428275	12.04763351	0.000518582	0.032821495	pseudobulk	edgeR	LRT
Mapkap1	0.268116779	7.223535313	12.04592429	0.000519057	0.032821495	pseudobulk	edgeR	LRT
Chm	0.254416178	7.591849212	11.92664354	0.000553368	0.03451819	pseudobulk	edgeR	LRT
Myo1b	-0.363212685	6.325923884	11.83586032	0.000581008	0.035759136	pseudobulk	edgeR	LRT
Rtl4	-0.413518326	7.142217496	11.72352017	0.000617151	0.037483805	pseudobulk	edgeR	LRT
Dnajc6	0.192493809	8.728351542	11.63691809	0.000646556	0.038759795	pseudobulk	edgeR	LRT
Epha4	-0.481594093	6.060578419	11.504839	0.000694152	0.041079584	pseudobulk	edgeR	LRT
Vamp1	0.428430113	6.210088295	11.43107844	0.000722258	0.042201781	pseudobulk	edgeR	LRT
Btbd11	0.253642091	9.358943015	11.14455278	0.000842788	0.048112142	pseudobulk	edgeR	LRT
Slc4a4	0.252676989	8.720573842	11.12746036	0.00085059	0.048112142	pseudobulk	edgeR	LRT
