gene	logFC	logCPM	LR	PValue	FDR	de_family	de_method	de_type	cell_type	perturbation	condition
Gm26652	1.74541323405884	6.75472561331324	33.6356325356103	6.64639814618044e-09	2.90846382876856e-05	pseudobulk	edgeR	LRT	Supp_layer_neurons	Dgcr8_KO	Supp_layer_neurons:Dgcr8_KO
B830012L14Rik	0.989887655344045	8.40719836340889	29.853536125052	4.6594628347271e-08	6.984534232392e-05	pseudobulk	edgeR	LRT	Supp_layer_neurons	Dgcr8_KO	Supp_layer_neurons:Dgcr8_KO
Lncpint	0.68067196806132	10.2376277486247	29.8006555623298	4.78830043354113e-08	6.984534232392e-05	pseudobulk	edgeR	LRT	Supp_layer_neurons	Dgcr8_KO	Supp_layer_neurons:Dgcr8_KO
C130071C03Rik	0.85237713082177	9.05506471950541	25.9816692481231	3.44674553385944e-07	0.000377073961404223	pseudobulk	edgeR	LRT	Supp_layer_neurons	Dgcr8_KO	Supp_layer_neurons:Dgcr8_KO
Pcsk5	-1.39712887383616	7.70506010285942	20.5420169222258	5.83365684931201e-06	0.00510561647451787	pseudobulk	edgeR	LRT	Supp_layer_neurons	Dgcr8_KO	Supp_layer_neurons:Dgcr8_KO
Mir124a-1hg	0.754666157595669	8.62591138763886	17.1221982689213	3.5050240827052e-05	0.02556330897653	pseudobulk	edgeR	LRT	Supp_layer_neurons	Dgcr8_KO	Supp_layer_neurons:Dgcr8_KO
Mirg	0.989547968288274	7.65012554085308	15.6513324742506	7.61589024903772e-05	0.0476101938996987	pseudobulk	edgeR	LRT	Supp_layer_neurons	Dgcr8_KO	Supp_layer_neurons:Dgcr8_KO
Gm49317	0.63219324393432	8.90177213423138	14.3458706637461	0.000152112953483482	0.0832057855554644	pseudobulk	edgeR	LRT	Supp_layer_neurons	Dgcr8_KO	Supp_layer_neurons:Dgcr8_KO
Txlng	-1.56310741176464	6.51543434980858	13.1781948795185	0.000283225446175954	0.137710505829553	pseudobulk	edgeR	LRT	Supp_layer_neurons	Dgcr8_KO	Supp_layer_neurons:Dgcr8_KO
Kcnt1	-1.51653604135167	6.28527666325167	11.8965297073891	0.000562386230057464	0.246100214273146	pseudobulk	edgeR	LRT	Supp_layer_neurons	Dgcr8_KO	Supp_layer_neurons:Dgcr8_KO
Arhgef25	-1.35754449506063	6.39035066454461	11.4632366946227	0.000709865543198454	0.282397419730585	pseudobulk	edgeR	LRT	Supp_layer_neurons	Dgcr8_KO	Supp_layer_neurons:Dgcr8_KO
Otud7b	-1.31577397831536	6.53056376272955	11.2518083963449	0.000795454790818072	0.290075847051657	pseudobulk	edgeR	LRT	Supp_layer_neurons	Dgcr8_KO	Supp_layer_neurons:Dgcr8_KO
Uggt1	-1.21335453653196	6.57180022365117	10.9824338226352	0.000919795559487206	0.309617336024309	pseudobulk	edgeR	LRT	Supp_layer_neurons	Dgcr8_KO	Supp_layer_neurons:Dgcr8_KO
Sptan1	-0.558676948093174	8.74368269529849	10.7088481593802	0.00106624387832884	0.333277372254787	pseudobulk	edgeR	LRT	Supp_layer_neurons	Dgcr8_KO	Supp_layer_neurons:Dgcr8_KO
Itm2c	-1.17345052392118	7.04125147432637	10.5333946769668	0.00117236671227216	0.341791885535306	pseudobulk	edgeR	LRT	Supp_layer_neurons	Dgcr8_KO	Supp_layer_neurons:Dgcr8_KO
Nrp1	-1.67247797659598	6.4746300316591	10.4153877894349	0.00124969610799015	0.341791885535306	pseudobulk	edgeR	LRT	Supp_layer_neurons	Dgcr8_KO	Supp_layer_neurons:Dgcr8_KO
Tafa5	-0.942114077913476	7.23344521331013	10.273614363931	0.00134946182077344	0.341839545489897	pseudobulk	edgeR	LRT	Supp_layer_neurons	Dgcr8_KO	Supp_layer_neurons:Dgcr8_KO
Ctdspl2	-1.17898616597001	6.52930174413022	10.1977722408741	0.00140610416334967	0.341839545489897	pseudobulk	edgeR	LRT	Supp_layer_neurons	Dgcr8_KO	Supp_layer_neurons:Dgcr8_KO
Cox4i1	-1.20245573860289	6.62932235847301	9.97940309707058	0.00158300993096529	0.364592181994953	pseudobulk	edgeR	LRT	Supp_layer_neurons	Dgcr8_KO	Supp_layer_neurons:Dgcr8_KO
Pkig	-0.854322481372096	7.53544380094721	9.64821089952652	0.00189536096454041	0.414704979041443	pseudobulk	edgeR	LRT	Supp_layer_neurons	Dgcr8_KO	Supp_layer_neurons:Dgcr8_KO
Upf2	-1.13802284739461	6.5991659456388	9.35948717744564	0.00221834205129292	0.462260229355135	pseudobulk	edgeR	LRT	Supp_layer_neurons	Dgcr8_KO	Supp_layer_neurons:Dgcr8_KO
Hunk	-1.371863336593	6.18238693642594	9.21566829696658	0.00239952604514228	0.477287544251937	pseudobulk	edgeR	LRT	Supp_layer_neurons	Dgcr8_KO	Supp_layer_neurons:Dgcr8_KO
Luzp2	-1.36549430119177	7.35273768841981	9.06983337703116	0.00259860746989793	0.49441331688145	pseudobulk	edgeR	LRT	Supp_layer_neurons	Dgcr8_KO	Supp_layer_neurons:Dgcr8_KO
Gm27032	-0.918242218482137	6.97234744323979	8.93546339723184	0.0027968650315513	0.509160460004183	pseudobulk	edgeR	LRT	Supp_layer_neurons	Dgcr8_KO	Supp_layer_neurons:Dgcr8_KO
Gm3764	0.669836894723158	7.84343778538618	8.79144360249708	0.00302646661544545	0.509160460004183	pseudobulk	edgeR	LRT	Supp_layer_neurons	Dgcr8_KO	Supp_layer_neurons:Dgcr8_KO
Suclg1	-1.67407285459998	5.92926918332913	8.73917350670158	0.00311445652100904	0.509160460004183	pseudobulk	edgeR	LRT	Supp_layer_neurons	Dgcr8_KO	Supp_layer_neurons:Dgcr8_KO
Tagln3	-1.10277803555003	6.64650455821476	8.60560626764875	0.00335129791913063	0.509160460004183	pseudobulk	edgeR	LRT	Supp_layer_neurons	Dgcr8_KO	Supp_layer_neurons:Dgcr8_KO
Mbnl2	-0.519639150076868	8.71220924579206	8.58214858814544	0.00339474563341051	0.509160460004183	pseudobulk	edgeR	LRT	Supp_layer_neurons	Dgcr8_KO	Supp_layer_neurons:Dgcr8_KO
