gene	logFC	logCPM	LR	PValue	FDR	de_family	de_method	de_type	cell_type	perturbation	condition
Mirg	1.75298224385119	8.09402674907306	140.637086903937	1.93152237432085e-32	8.49869844701173e-29	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO
C130071C03Rik	1.51585183258683	9.0937226849939	117.165804160376	2.6404490896499e-27	5.80898799722978e-24	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO
Gm27032	-3.01365254547204	6.78342719601228	63.2680944585769	1.80402837816358e-15	2.64590828797326e-12	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO
Gm3764	1.30683421186987	8.05153715995681	55.68773220641	8.49467313856037e-14	9.34414045241641e-11	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO
Lncpint	0.814964583665839	10.3806298732905	42.2305660659703	8.11221481332418e-11	7.13874903572528e-08	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO
Mir124a-1hg	0.903514302529683	8.56823117405112	40.9170787356468	1.58827072300386e-10	1.16473186353617e-07	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO
Gm49317	0.944197110910138	9.07547469716792	39.3936485273528	3.46421943958242e-10	2.17750936202323e-07	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO
B830012L14Rik	0.90905545806475	8.82010505791426	38.3404140952973	5.94192494629796e-10	3.26805872046388e-07	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO
Spaca6	1.36418048806117	6.11634590548527	30.1998771699278	3.89734149277476e-08	1.90536695202322e-05	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO
Mir9-3hg	0.831384962311217	7.86318356166337	28.137196501998	1.13012822155224e-07	4.97256417482987e-05	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO
Ftx	0.687488235437603	8.24896577156813	20.6793325692645	5.42989339246203e-06	0.00217195735698481	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO
5330434G04Rik	0.795362701568345	8.337902048353	20.1665643502266	7.09828800770864e-06	0.0026027056028265	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO
Nkain3	1.05781455699577	8.43183652727551	18.6327272842069	1.58476537688538e-05	0.00536382127561206	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO
Mtss1	-1.49695075346924	6.08485450492703	17.157394498808	3.4406738380606e-05	0.0108135463481905	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO
Spink10	-0.897313951338504	7.10226955705511	13.550179545192	0.000232269203241385	0.068132299617473	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO
C78859	0.830180507453957	6.5575680942285	12.2396846597688	0.000467837351216066	0.128655271584418	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO
Mpdz	-0.74985449584004	7.15945812215823	12.0023683865491	0.000531329847649274	0.1375206664504	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO
Lrp1	0.668464497312402	6.86771310544681	11.6727099842431	0.000634235589185036	0.155035366245231	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO
Fut9	-0.506402321783638	9.40907714615439	11.0982157221271	0.000864108168738127	0.200109260128829	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO
Egr1	0.871191161702592	6.40728786680319	10.8840718562889	0.000969947732659512	0.213388501185093	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO
Camk2d	-1.28881806942342	6.44232086145126	10.7583364833326	0.00103810649303099	0.217508027111255	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO
G3bp2	-1.0040448703469	6.41587513846896	10.6335727331962	0.00111052959262836	0.222105918525671	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO
Cntn5	-0.591597598445464	9.73284400344531	10.313615694199	0.00132052310287602	0.252621810984978	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO
C530008M17Rik	-1.27631717411368	6.01612498949091	10.0987215962244	0.00148372216613603	0.272015730458272	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO
Srsf11	-0.457579220421289	8.58082071855998	9.99911409086389	0.00156615549673928	0.275643367426114	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO
Mcf2l	-0.637606689550118	7.35116822494253	9.61813991301504	0.00192664772656432	0.326048076803192	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO
Ankle2	0.965495943888186	5.8588015073681	9.45333088118711	0.00210766000777442	0.33379994201539	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO
Hacd1	-0.966489749047608	6.27840829526305	9.43900984532437	0.00212418144918885	0.33379994201539	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO
Atf7ip	-0.799405765134618	6.81295157124164	9.34422299028463	0.00223689473114897	0.339390924726051	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO
Ube2k	-0.563904751518192	7.63764124591315	9.16781559853247	0.00246308389028374	0.361252303908282	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO
Atp5c1	0.629073510417861	6.94191380849876	9.02441748913374	0.00266396806212177	0.366392351069762	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO
Zfp608	0.884664122334502	6.44537162796403	9.02393478235467	0.00266467164414372	0.366392351069762	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO
9530059O14Rik	0.49358613133084	8.90916504219875	8.90013077426002	0.00285150233366205	0.37052650516869	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO
Serpine2	-0.914069919437317	6.5779475674885	8.86246290563438	0.00291094549846126	0.37052650516869	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO
Snca	-0.624410556730665	7.57199921573858	8.83976562870349	0.00294736992747821	0.37052650516869	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO
Zswim5	-1.06629619410124	6.16399037357274	8.68066209032263	0.00321604131089423	0.380975077776366	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO
Raph1	0.501965752416177	7.64184847160296	8.64072718181945	0.00328730193486492	0.380975077776366	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO
Hlcs	-0.93177580140944	6.30231722023302	8.63909999602178	0.00329023930806862	0.380975077776366	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO
Gpc5	-1.02271118948609	7.47594743644938	8.55465993030113	0.00344638877324265	0.388823348776093	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO
Cbx5	-1.03184620337003	6.07815196331733	8.4939294094114	0.00356333388269585	0.391966727096544	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO
Cep112	-0.452232915434916	8.74065728214437	8.19389186922215	0.00420316592248042	0.437643594872846	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO
