gene	logFC	logCPM	LR	PValue	FDR	de_family	de_method	de_type	cell_type	perturbation	condition
Mir181a-1hg	2.40299016993239	7.69722402349977	143.26346874334	5.14784056872057e-33	2.37778755869203e-29	pseudobulk	edgeR	LRT	Interneurons	Dgcr8_KO	Interneurons:Dgcr8_KO
Mirg	1.81203928485244	8.57906064635167	113.416275914685	1.74913253262097e-26	4.03962158408813e-23	pseudobulk	edgeR	LRT	Interneurons	Dgcr8_KO	Interneurons:Dgcr8_KO
2810049E08Rik	1.88529468238259	7.75835378483316	70.6455849232398	4.27523416364755e-17	6.58243553396267e-14	pseudobulk	edgeR	LRT	Interneurons	Dgcr8_KO	Interneurons:Dgcr8_KO
Gm3764	1.56202930508586	8.22163874861749	65.8286571348162	4.91878129525354e-16	5.67996270069402e-13	pseudobulk	edgeR	LRT	Interneurons	Dgcr8_KO	Interneurons:Dgcr8_KO
B830012L14Rik	1.24310911885819	8.98520256205544	61.7771206058023	3.84617450762391e-15	3.55309601014297e-12	pseudobulk	edgeR	LRT	Interneurons	Dgcr8_KO	Interneurons:Dgcr8_KO
Gm27032	-2.60340514450713	6.70155927691522	60.2482574047257	8.36168273002147e-15	6.4371020883282e-12	pseudobulk	edgeR	LRT	Interneurons	Dgcr8_KO	Interneurons:Dgcr8_KO
Lncpint	0.872956203972611	10.0075959822673	57.2293491720996	3.87840118579184e-14	2.50055943682417e-11	pseudobulk	edgeR	LRT	Interneurons	Dgcr8_KO	Interneurons:Dgcr8_KO
C130071C03Rik	1.19437537593113	9.94103042667723	57.0123164480573	4.33091047728802e-14	2.50055943682417e-11	pseudobulk	edgeR	LRT	Interneurons	Dgcr8_KO	Interneurons:Dgcr8_KO
Mir124a-1hg	0.837413432619858	9.31209770894434	35.1134990978849	3.11037148024313e-09	1.596311763027e-06	pseudobulk	edgeR	LRT	Interneurons	Dgcr8_KO	Interneurons:Dgcr8_KO
Gm20732	1.3312670885603	6.62353868692996	33.80889905956	6.08001073055372e-09	2.80835695644276e-06	pseudobulk	edgeR	LRT	Interneurons	Dgcr8_KO	Interneurons:Dgcr8_KO
Gm49317	0.714733980336482	9.34168158933572	22.7265653200503	1.86767937445046e-06	0.000784255548235151	pseudobulk	edgeR	LRT	Interneurons	Dgcr8_KO	Interneurons:Dgcr8_KO
Spaca6	0.991941699728891	6.73582832974408	21.9406129180487	2.81219069584096e-06	0.00108245906867412	pseudobulk	edgeR	LRT	Interneurons	Dgcr8_KO	Interneurons:Dgcr8_KO
Mir670hg	1.5909260567554	7.27327933654647	19.4390935838057	1.03859216131942e-05	0.00369019784087261	pseudobulk	edgeR	LRT	Interneurons	Dgcr8_KO	Interneurons:Dgcr8_KO
5330434G04Rik	0.668753584602271	9.7134901227008	18.6851721982516	1.54176777100013e-05	0.00508673238160686	pseudobulk	edgeR	LRT	Interneurons	Dgcr8_KO	Interneurons:Dgcr8_KO
Sf3b2	0.813776853144062	6.70083109638453	17.1093343102073	3.52884431249599e-05	0.0108664879196126	pseudobulk	edgeR	LRT	Interneurons	Dgcr8_KO	Interneurons:Dgcr8_KO
Htr1f	-1.00069533806274	7.58202265883064	16.7337246236118	4.30096243250053e-05	0.012416340922325	pseudobulk	edgeR	LRT	Interneurons	Dgcr8_KO	Interneurons:Dgcr8_KO
Mir9-3hg	0.711799296702771	7.45795133446347	15.3454544200678	8.95360875425932e-05	0.0243274816681905	pseudobulk	edgeR	LRT	Interneurons	Dgcr8_KO	Interneurons:Dgcr8_KO
Ptprk	-1.85556586983557	6.65908078270983	14.5096764120705	0.000139441446035155	0.0357822244020212	pseudobulk	edgeR	LRT	Interneurons	Dgcr8_KO	Interneurons:Dgcr8_KO
Cnnm1	0.680720188301989	6.94895279572355	13.2413801598766	0.000273836210092089	0.0665710239165979	pseudobulk	edgeR	LRT	Interneurons	Dgcr8_KO	Interneurons:Dgcr8_KO
Plxdc2	-0.734779024857638	8.35437006042921	12.9265430444688	0.000323955499362517	0.0748175225777734	pseudobulk	edgeR	LRT	Interneurons	Dgcr8_KO	Interneurons:Dgcr8_KO
6030443J06Rik	0.913102980651466	6.28769341436425	12.6166459915835	0.000382326725033137	0.0840936734727648	pseudobulk	edgeR	LRT	Interneurons	Dgcr8_KO	Interneurons:Dgcr8_KO
