gene	logFC_comp1	logCPM_comp1	LR_comp1	PValue_comp1	FDR_comp1	de_family_comp1	de_method_comp1	de_type_comp1	cell_type_comp1	perturbation	condition	logFC_comp2	logCPM_comp2	LR_comp2	PValue_comp2	FDR_comp2	de_family_comp2	de_method_comp2	de_type_comp2	cell_type_comp2	score	p	convergence	q_value
5330434G04Rik	0.795362702	8.337902048	20.16656435	7.09829E-06	0.002602706	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO	0.478224988	7.666080099	10.95512343	0.000933452	0.024249103	pseudobulk	edgeR	LRT	Deep_layer_neurons	0.769064719	0.001425	high	0.3740625
C130071C03Rik	1.515851833	9.093722685	117.1658042	2.64045E-27	5.80899E-24	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO	0.334084855	8.185890069	8.111339503	0.004398921	0.072922698	pseudobulk	edgeR	LRT	Deep_layer_neurons	1.256062198	0.000325	high	0.21945
C78859	0.830180507	6.557568094	12.23968466	0.000467837	0.128655272	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO	0.053982306	5.38588619	0.141945387	0.706354643	0.890767265	pseudobulk	edgeR	LRT	Deep_layer_neurons	0.266578807	0.0167	high	0.49100405
Ftx	0.687488235	8.248965772	20.67933257	5.42989E-06	0.002171957	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO	0.348297635	7.642062274	11.27484219	0.000785645	0.021320047	pseudobulk	edgeR	LRT	Deep_layer_neurons	0.531732077	0.00445	high	0.4132975
Gm3764	1.306834212	8.05153716	55.68773221	8.49467E-14	9.34414E-11	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO	0.617784819	6.938548937	23.24050919	1.42954E-06	0.000117997	pseudobulk	edgeR	LRT	Deep_layer_neurons	1.489096769	0.000225	high	0.21945
Mir124a-1hg	0.903514303	8.568231174	40.91707874	1.58827E-10	1.16473E-07	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO	0.038816249	8.719790656	0.082636009	0.773756454	0.91996291	pseudobulk	edgeR	LRT	Deep_layer_neurons	0.438309416	0.006525	high	0.421150368
Mir9-3hg	0.831384962	7.863183562	28.1371965	1.13013E-07	4.97256E-05	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO	0.054616835	7.47828397	0.240271098	0.624010382	0.85478707	pseudobulk	edgeR	LRT	Deep_layer_neurons	0.390359997	0.00785	high	0.444063529
Mirg	1.752982244	8.094026749	140.6370869	1.93152E-32	8.4987E-29	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO	0.192392791	6.619745746	1.51841944	0.217858836	0.572309446	pseudobulk	edgeR	LRT	Deep_layer_neurons	1.224630202	0.000275	high	0.21945
Spaca6	1.364180488	6.116345905	30.19987717	3.89734E-08	1.90537E-05	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO	0.278364569	5.769706223	6.139089049	0.013222541	0.145528871	pseudobulk	edgeR	LRT	Deep_layer_neurons	1.00934291	0.001025	high	0.3683625
0610010F05Rik	-0.05404234	7.159786283	0.058155574	0.809435244	0.983617758	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO	-0.140076261	6.938993208	1.173551146	0.278672775	0.632797902	pseudobulk	edgeR	LRT	Deep_layer_neurons	0.002798202	0.328175	high	0.493846722
