gene	logFC	logCPM	LR	PValue	FDR	de_family	de_method	de_type	cell_type
Gm16867	6.43617283886802	0.923010478752677	290.379658640569	4.10991005647256e-65	9.77007818624657e-61	pseudobulk	edgeR	LRT	Deep_layer_neurons
Cobll1	2.97924730615893	3.45287901893541	190.56856620233	2.38905569780282e-43	2.83963160240843e-39	pseudobulk	edgeR	LRT	Deep_layer_neurons
Rxfp1	1.52018173080575	6.2020379320113	159.692258901288	1.32095022149582e-36	1.04672095551329e-32	pseudobulk	edgeR	LRT	Deep_layer_neurons
Cdrt4	-4.5954130788935	1.14810320621615	127.859893009111	1.20452894064512e-29	7.15851549425398e-26	pseudobulk	edgeR	LRT	Deep_layer_neurons
5830418P13Rik	2.51744202647646	1.55422032136803	123.085002500069	1.336008849416e-28	6.35192047366343e-25	pseudobulk	edgeR	LRT	Deep_layer_neurons
Adgrd1	1.43912293919518	4.30820965057398	122.289527056069	1.99494304218127e-28	7.90396433312221e-25	pseudobulk	edgeR	LRT	Deep_layer_neurons
Gm49906	2.30707199518466	3.84547858689117	108.76315860829	1.82883358983594e-25	6.21071887108286e-22	pseudobulk	edgeR	LRT	Deep_layer_neurons
Nnat	-3.32414632123278	3.17719203046554	96.182011619709	1.04792715641868e-22	3.11391554529811e-19	pseudobulk	edgeR	LRT	Deep_layer_neurons
Fam163a	3.00932687568022	-0.218968903768604	95.3224735782783	1.61766260546508e-22	4.27278616190177e-19	pseudobulk	edgeR	LRT	Deep_layer_neurons
Tango2	-1.05468659691187	6.57714806258076	94.2283804670182	2.81140703350307e-22	6.68327680004349e-19	pseudobulk	edgeR	LRT	Deep_layer_neurons
Comt	-1.08900610543211	5.46439714528479	92.2961178912169	7.46305548119239e-22	1.61283413544459e-18	pseudobulk	edgeR	LRT	Deep_layer_neurons
Gm17322	1.68894702221703	2.5651176506741	91.3039257482291	1.23215940378118e-21	2.44090777889052e-18	pseudobulk	edgeR	LRT	Deep_layer_neurons
Erdr1	-3.2181492107504	2.92979046530414	86.6013754136212	1.3275479105654e-20	2.4275745330739e-17	pseudobulk	edgeR	LRT	Deep_layer_neurons
Gm49912	1.85218520120954	1.28574122810725	85.196116642877	2.70192000734432e-20	4.58786017247065e-17	pseudobulk	edgeR	LRT	Deep_layer_neurons
Fbxw10	2.02910346770301	0.953432253241589	82.6762672536422	9.66548063287202e-20	1.53178537069756e-16	pseudobulk	edgeR	LRT	Deep_layer_neurons
C1ql2	3.5759341745488	0.269148680750285	80.9180736670013	2.35272018396591e-19	3.49555401332736e-16	pseudobulk	edgeR	LRT	Deep_layer_neurons
Adamts6	1.27194540632891	3.07933680026883	80.2049516329541	3.37520328761619e-19	4.7197254443066e-16	pseudobulk	edgeR	LRT	Deep_layer_neurons
Nrep	1.38524459950188	4.02414087675694	79.9539041755233	3.83247140204245e-19	5.06141723163073e-16	pseudobulk	edgeR	LRT	Deep_layer_neurons
Prkcd	4.0838560521368	-0.933100245822866	79.5393676336464	4.72711837989297e-19	5.91437148035872e-16	pseudobulk	edgeR	LRT	Deep_layer_neurons
Bcl2	-1.06382026614943	6.76085151056237	76.3034420292761	2.43259519529093e-18	2.83957597810894e-15	pseudobulk	edgeR	LRT	Deep_layer_neurons
Syt6	-1.07044218299404	7.20745189526871	76.2427973507175	2.50845934461921e-18	2.83957597810894e-15	pseudobulk	edgeR	LRT	Deep_layer_neurons
AC163347.1	2.39869796968775	1.26346021530178	75.9530904086182	2.90484118385941e-18	3.13881293739572e-15	pseudobulk	edgeR	LRT	Deep_layer_neurons
0610040J01Rik	1.3819401205111	3.14101589740477	75.3826807025508	3.87776571371517e-18	4.00792376288857e-15	pseudobulk	edgeR	LRT	Deep_layer_neurons
Hunk	1.35891151632261	5.40612475150221	73.383182712129	1.06771955900256e-17	1.05757622319204e-14	pseudobulk	edgeR	LRT	Deep_layer_neurons
Egfl6	1.85944337125432	0.840536647671387	72.9859087303113	1.30578807863598e-17	1.24164776821339e-14	pseudobulk	edgeR	LRT	Deep_layer_neurons
Flt3	1.57028726240773	3.39865051992673	72.7902773854576	1.44185415999821e-17	1.31829834967221e-14	pseudobulk	edgeR	LRT	Deep_layer_neurons
Alkal1	-1.71002430006034	2.9239381096955	72.2212404375217	1.92373963353135e-17	1.69374587290026e-14	pseudobulk	edgeR	LRT	Deep_layer_neurons
Dpyd	-1.08449937713186	6.05322377716608	71.9477475267252	2.20971862959516e-17	1.87605111652629e-14	pseudobulk	edgeR	LRT	Deep_layer_neurons
Slc25a1	-1.37530798547203	3.53122104133765	71.5614184376553	2.687607721642e-17	2.20309692271978e-14	pseudobulk	edgeR	LRT	Deep_layer_neurons
Ptchd4	1.03502466953842	6.32680970068714	71.4348655684465	2.86563433670045e-17	2.27072864840143e-14	pseudobulk	edgeR	LRT	Deep_layer_neurons
Rmst	1.76054353970862	5.4683974894804	71.2895905990469	3.08458886175887e-17	2.36538214263651e-14	pseudobulk	edgeR	LRT	Deep_layer_neurons
Sgpp2	1.19456176713252	4.98963881859627	70.0961112656546	5.64842104229846e-17	4.19607078179747e-14	pseudobulk	edgeR	LRT	Deep_layer_neurons
Meis2	-0.90411553214254	8.20894121134495	69.9787160906564	5.99478148256267e-17	4.31842258798424e-14	pseudobulk	edgeR	LRT	Deep_layer_neurons
Rnf17	1.47760241462405	2.28279558485549	67.2126661645318	2.43743105910847e-16	1.7041944452096e-13	pseudobulk	edgeR	LRT	Deep_layer_neurons
Myo5c	1.19212364354299	3.71764711550951	66.6760104008509	3.20005850730403e-16	2.1734797381609e-13	pseudobulk	edgeR	LRT	Deep_layer_neurons
Ccn4	-1.46817345558502	4.05477736170978	66.5319283935925	3.44271860183025e-16	2.27334185007524e-13	pseudobulk	edgeR	LRT	Deep_layer_neurons
Ccnjl	-1.38698253196199	3.01040078578003	66.1055519347476	4.27410164996682e-16	2.74605255197328e-13	pseudobulk	edgeR	LRT	Deep_layer_neurons
Cachd1	1.64316483519586	3.91383726595118	65.8952581177961	4.75534380120131e-16	2.97484296953046e-13	pseudobulk	edgeR	LRT	Deep_layer_neurons
Cemip	-1.06178167001225	5.72551644160623	65.1988682282061	6.77084015643575e-16	4.12708749227668e-13	pseudobulk	edgeR	LRT	Deep_layer_neurons
Qrfpr	3.05192067618669	2.44975311589036	64.4767230542345	9.76795202128934e-16	5.80509388625225e-13	pseudobulk	edgeR	LRT	Deep_layer_neurons
Hjurp	1.78325747114815	4.30337807399578	64.3484178699726	1.0425206923133e-15	6.04458582870042e-13	pseudobulk	edgeR	LRT	Deep_layer_neurons
Gm28876	3.73154210547559	-1.24044287734221	63.9452097844357	1.27927985706696e-15	7.24072399099899e-13	pseudobulk	edgeR	LRT	Deep_layer_neurons
Ikzf2	1.38583990343246	6.14180908762584	62.1035169099722	3.25868916586937e-15	1.80152462444294e-12	pseudobulk	edgeR	LRT	Deep_layer_neurons
Trmt2a	-1.07386422806713	4.11739748449256	59.6936012065751	1.10836323652043e-14	5.98818428603718e-12	pseudobulk	edgeR	LRT	Deep_layer_neurons
Akain1	1.72686859468095	1.27368186448314	59.5967953419214	1.16424596484512e-14	6.15032335028848e-12	pseudobulk	edgeR	LRT	Deep_layer_neurons
Gm14507	4.07402921097873	-0.314022652304089	59.2231849515482	1.40765511076434e-14	7.27451680284564e-12	pseudobulk	edgeR	LRT	Deep_layer_neurons
Mctp2	1.16940976051681	4.66808013384613	58.5941944918964	1.93787440619535e-14	9.80152135831403e-12	pseudobulk	edgeR	LRT	Deep_layer_neurons
Cyp11a1	1.55232836308787	2.59230881460654	58.3481908178612	2.19598502215115e-14	1.08756158222036e-11	pseudobulk	edgeR	LRT	Deep_layer_neurons
A930029G22Rik	1.52115906634121	1.25539843396765	56.3036857681403	6.20989092540705e-14	3.01268422609748e-11	pseudobulk	edgeR	LRT	Deep_layer_neurons
Shisal1	-1.22702187517259	4.74002659387361	55.8466172023078	7.83514411562478e-14	3.72514091833265e-11	pseudobulk	edgeR	LRT	Deep_layer_neurons
4933412O06Rik	1.37779269930238	2.69596153758867	55.1385735832737	1.12324757420116e-13	5.23565516351175e-11	pseudobulk	edgeR	LRT	Deep_layer_neurons
Arvcf	-1.20509447886597	4.05764925924459	54.971093210063	1.223156136084e-13	5.59170532057477e-11	pseudobulk	edgeR	LRT	Deep_layer_neurons
Zbtb46	-1.10233132091909	4.44339078282217	53.2470876097916	2.94123212575357e-13	1.31922585081913e-10	pseudobulk	edgeR	LRT	Deep_layer_neurons
