gene	logFC	logCPM	LR	PValue	FDR	de_family	de_method	de_type	cell_type
Gm16867	6.84819607792544	1.93481864699517	241.402045944303	1.94536259983334e-54	4.42939610356052e-50	pseudobulk	edgeR	LRT	Interneurons
Erdr1	-2.76800585028644	3.16537413099311	97.423306280902	5.59831906387891e-23	6.37340633827294e-19	pseudobulk	edgeR	LRT	Interneurons
Pth2r	-1.82302427702356	3.28353575820353	76.7139709559346	1.97600524612701e-18	1.49972211496886e-14	pseudobulk	edgeR	LRT	Interneurons
Dgcr8	-1.16099750260939	5.16134045882831	63.5454572141352	1.56708578043005e-15	8.92024403365294e-12	pseudobulk	edgeR	LRT	Interneurons
Comt	-0.978371101471165	5.30105271077009	60.1147473730966	8.94853479012701e-15	4.07498377272804e-11	pseudobulk	edgeR	LRT	Interneurons
Arvcf	-1.08563215910281	4.37219561744672	58.0706591509461	2.52869865156289e-14	9.59598993290590e-11	pseudobulk	edgeR	LRT	Interneurons
Loxl2	3.33110556354084	0.910048505661232	52.2813196082761	4.80927626330573e-13	1.56432016056012e-09	pseudobulk	edgeR	LRT	Interneurons
Ptprk	-0.93680859024843	7.11092799221772	47.07784519302	6.82225039583097e-12	1.94169774078344e-08	pseudobulk	edgeR	LRT	Interneurons
Ide	0.718905002412893	6.2184109429209	46.6198822186628	8.61813967353797e-12	2.18029358029762e-08	pseudobulk	edgeR	LRT	Interneurons
Mrvi1	1.17395114128449	3.64406112507471	45.8146840069916	1.2998551579219e-11	2.95964020907238e-08	pseudobulk	edgeR	LRT	Interneurons
Slit1	-0.903492359303189	4.72046345467217	44.749238731473	2.23954002405004e-11	4.63564425523594e-08	pseudobulk	edgeR	LRT	Interneurons
Nptx1	-1.42077402731079	3.20613394179025	40.6986029282938	1.77614116034986e-10	3.3700798400005e-07	pseudobulk	edgeR	LRT	Interneurons
6530403H02Rik	-2.06271044693233	1.73060587347697	39.7693724157531	2.85791769388032e-10	5.00553292092008e-07	pseudobulk	edgeR	LRT	Interneurons
Meis2	-1.22228410704165	3.79287937256029	38.630040560266	5.12244138398909e-10	8.33091913371768e-07	pseudobulk	edgeR	LRT	Interneurons
Dgcr6	-1.12831758700166	3.07951719440863	37.2594442713364	1.03412964153552e-09	1.56973985387481e-06	pseudobulk	edgeR	LRT	Interneurons
Hjurp	1.64097308383572	4.8213699590578	36.180446263513	1.79866276973608e-09	2.55960953775755e-06	pseudobulk	edgeR	LRT	Interneurons
Hs3st2	-0.899145648382041	4.85318580322132	33.7241682027101	6.35067647635433e-09	8.50579721706539e-06	pseudobulk	edgeR	LRT	Interneurons
Tango2	-0.848931039018082	6.58083343704179	33.5093230528372	7.09232134191872e-09	8.97139247967485e-06	pseudobulk	edgeR	LRT	Interneurons
Tmem108	0.56987517281587	8.52602966466633	31.945296129363	1.58575905916949e-08	1.90032357990685e-05	pseudobulk	edgeR	LRT	Interneurons
Hs6st3	0.487048763284734	9.64154919180684	31.5478106616732	1.94589643441702e-08	2.21530579576206e-05	pseudobulk	edgeR	LRT	Interneurons
Dmrt2	1.20386770222489	2.58104265793437	31.1456408435827	2.39376313967317e-08	2.5954091870104e-05	pseudobulk	edgeR	LRT	Interneurons
Corin	-1.1726011857457	4.7497315648546	30.8237852312634	2.82553337578058e-08	2.92429861059763e-05	pseudobulk	edgeR	LRT	Interneurons
Slc25a1	-0.854922855649674	3.83763503292208	30.5193513046329	3.30552820579137e-08	3.27232920511582e-05	pseudobulk	edgeR	LRT	Interneurons
Ess2	-1.30631480242692	2.7743909579253	29.9847414186495	4.35459487443533e-08	4.13124044566742e-05	pseudobulk	edgeR	LRT	Interneurons
Zdhhc8	-1.39162737697671	4.36888832884908	29.4592706157928	5.71042293556263e-08	5.20082479279302e-05	pseudobulk	edgeR	LRT	Interneurons
Septin5	-1.20566448363856	2.8685775954304	28.458466919583	9.57301969210232e-08	8.08242272349853e-05	pseudobulk	edgeR	LRT	Interneurons
Gm28539	-1.08494458059652	3.67712231231228	28.4561825842119	9.5843213814599e-08	8.08242272349853e-05	pseudobulk	edgeR	LRT	Interneurons
Plekhh2	-0.691132192480053	6.66671061686963	27.6855882746727	1.42722037472193e-07	0.000116058502543013	pseudobulk	edgeR	LRT	Interneurons
Gnb1l	-1.07096812207046	3.30462290741145	27.3539990899096	1.69413720896237e-07	0.000132704050868372	pseudobulk	edgeR	LRT	Interneurons
Ufd1	-0.716733200893003	4.66164840064623	27.2929436882247	1.74848325620412e-07	0.000132704050868372	pseudobulk	edgeR	LRT	Interneurons
Gpc5	0.694412286372458	6.22324827577958	27.0621627432266	1.97016695575276e-07	0.000144705585211402	pseudobulk	edgeR	LRT	Interneurons
Trmt2a	-0.741825922240292	4.3198454588494	26.3032676498293	2.91794561940046e-07	0.000207620949400403	pseudobulk	edgeR	LRT	Interneurons
Xlr4a	2.57451323938588	0.27626797232498	26.1887645983073	3.09618740841192e-07	0.000213627548794336	pseudobulk	edgeR	LRT	Interneurons
0610040J01Rik	0.886085855516568	3.12661865744391	26.0800314934247	3.27554137548629e-07	0.000219355298760139	pseudobulk	edgeR	LRT	Interneurons
Gfod1	-0.635401246232862	6.84313189549799	26.0145638697036	3.38851509946831e-07	0.000220437429427983	pseudobulk	edgeR	LRT	Interneurons
Btaf1	0.491668715360004	7.08001954343754	25.5870176403317	4.22874963771218e-07	0.000261687591227195	pseudobulk	edgeR	LRT	Interneurons
Negr1	-0.497246336578554	10.3368170437102	25.5762259758205	4.25246645676412e-07	0.000261687591227195	pseudobulk	edgeR	LRT	Interneurons
Prkg1	-0.598109320831033	8.58326747043332	25.164217158135	5.26500735571036e-07	0.000315470927584656	pseudobulk	edgeR	LRT	Interneurons
Th	-1.2904372165139	2.84925606417483	25.0262431634565	5.65552900306321e-07	0.000330096881643802	pseudobulk	edgeR	LRT	Interneurons
Col15a1	1.27332487990203	2.35810599096886	24.9762910559888	5.80396490084668e-07	0.000330096881643802	pseudobulk	edgeR	LRT	Interneurons
6330411D24Rik	0.585661763835439	8.3860338975735	24.9303153504706	5.94403449751675e-07	0.000330096881643802	pseudobulk	edgeR	LRT	Interneurons
Nr4a2	-0.967338268369286	3.54962712833666	24.4631572285586	7.5744474379579e-07	0.000410625223130627	pseudobulk	edgeR	LRT	Interneurons
Pdgfrl	-1.48137054163051	1.65682366665354	24.347203212037	8.04434524436033e-07	0.000425957434578698	pseudobulk	edgeR	LRT	Interneurons
Lsmem1	0.94047957360146	2.86939217824082	24.0486494030017	9.39321251024402e-07	0.000486077399194878	pseudobulk	edgeR	LRT	Interneurons
Arhgef15	0.923835994827566	3.35960285974683	23.4557302258555	1.27821430345972e-06	0.000646748032788319	pseudobulk	edgeR	LRT	Interneurons
Gm7967	4.15994143553273	-0.882704988979204	23.3969988063785	1.31783979994781e-06	0.000652302052282864	pseudobulk	edgeR	LRT	Interneurons
Col6a1	-1.56488814001469	2.26804363585854	22.9835912058256	1.63390060528283e-06	0.000791537933652867	pseudobulk	edgeR	LRT	Interneurons
Kcnip4	-0.586224073796202	13.0014754936175	22.4461071336382	2.16123071420688e-06	0.00102518879441201	pseudobulk	edgeR	LRT	Interneurons
Eya1	-0.626552503711214	5.45144991716837	22.1921263109861	2.46683367267783e-06	0.00114627216108575	pseudobulk	edgeR	LRT	Interneurons
Piezo2	-1.83937578807774	1.78479604687779	21.8556602027134	2.93948226758113e-06	0.00133858143501109	pseudobulk	edgeR	LRT	Interneurons
Cnih3	-0.900682750664613	4.83361783322921	21.6645531378695	3.24736874242966e-06	0.00144979095875257	pseudobulk	edgeR	LRT	Interneurons
