gene	logFC	logCPM	LR	PValue	FDR	de_family	de_method	de_type	cell_type
Gm16867	7.79202243964405	1.92178491830299	420.647708896776	1.76386369338978e-93	4.21810363637233e-89	pseudobulk	edgeR	LRT	Supp_layer_neurons
Nxph2	2.26332467699566	2.42158518782949	138.830028607695	4.79807312838255e-32	5.73705603960702e-28	pseudobulk	edgeR	LRT	Supp_layer_neurons
Erdr1	-3.20767134417315	2.93410184207439	129.769627138711	4.60206270180961e-30	3.6684575817025e-26	pseudobulk	edgeR	LRT	Supp_layer_neurons
Etv1	1.27536177127492	6.16197005672296	117.787739553128	1.92972501268385e-27	1.15368609883304e-23	pseudobulk	edgeR	LRT	Supp_layer_neurons
Tshz2	1.31097688372861	8.56643552313648	109.870261032256	1.04618693085532e-25	4.43410664011402e-22	pseudobulk	edgeR	LRT	Supp_layer_neurons
Loxl2	4.57473284916433	0.449413538793067	109.748412305593	1.11251316553835e-25	4.43410664011402e-22	pseudobulk	edgeR	LRT	Supp_layer_neurons
Bcl11b	-1.40952569245106	4.44370982591611	101.782622263526	6.19613414844601e-24	2.1167764575134e-20	pseudobulk	edgeR	LRT	Supp_layer_neurons
Rnf17	1.60702223907977	2.30003297838508	95.1490131918603	1.7658019720405e-22	5.27842354492206e-19	pseudobulk	edgeR	LRT	Supp_layer_neurons
Zar1l	1.67382211439249	2.656006406808	93.4569258276288	4.15137463724252e-22	1.10306636750019e-18	pseudobulk	edgeR	LRT	Supp_layer_neurons
Slc17a6	1.86963194031585	2.51356170544806	82.1339584965854	1.27168810546852e-19	3.04111493541743e-16	pseudobulk	edgeR	LRT	Supp_layer_neurons
Arvcf	-1.12888763970437	4.17001681722532	81.7815863810509	1.51988016803177e-19	3.27445070469984e-16	pseudobulk	edgeR	LRT	Supp_layer_neurons
Ubash3b	-1.98115580059225	5.49612570030993	81.627506187212	1.64311317455876e-19	3.27445070469984e-16	pseudobulk	edgeR	LRT	Supp_layer_neurons
Comt	-1.08394598238962	5.3147100569303	79.9353753621625	3.86857966824973e-19	7.11640109127108e-16	pseudobulk	edgeR	LRT	Supp_layer_neurons
Nrep	1.20862170182157	5.44316152996395	74.4788965219045	6.12899580681574e-18	1.04692004088708e-14	pseudobulk	edgeR	LRT	Supp_layer_neurons
Tango2	-1.0712896506739	6.23040863012386	73.8336157599378	8.49868982549135e-18	1.354917789912e-14	pseudobulk	edgeR	LRT	Supp_layer_neurons
Prss23	-1.56324505352189	2.19105617903588	69.3425632685864	8.27640997131081e-17	1.23701292533704e-13	pseudobulk	edgeR	LRT	Supp_layer_neurons
Trpv6	1.49432514581818	2.48311386604598	67.8238743457162	1.78771698843423e-16	2.51479200361272e-13	pseudobulk	edgeR	LRT	Supp_layer_neurons
Hs3st2	-0.918080831903699	7.33721589361512	63.5135168229734	1.59270197190374e-15	2.115993053117e-12	pseudobulk	edgeR	LRT	Supp_layer_neurons
Arhgap31	-1.57702594619659	5.08979194324423	62.7874211677065	2.30264766217285e-15	2.89818506280008e-12	pseudobulk	edgeR	LRT	Supp_layer_neurons
Vgll3	2.10284075316385	1.63374091515589	62.1479661023324	3.18595909346065e-15	3.8094512880509e-12	pseudobulk	edgeR	LRT	Supp_layer_neurons
Trmt2a	-1.05725291566212	4.09032014735715	58.8523670825867	1.69957187259347e-14	1.9354077029143e-11	pseudobulk	edgeR	LRT	Supp_layer_neurons
Dgcr8	-1.13674817113559	5.12638674614623	58.5699304194379	1.96192140913425e-14	2.13260857172893e-11	pseudobulk	edgeR	LRT	Supp_layer_neurons
Prrx1	2.34816591480088	0.16730884433823	58.2529195892953	2.30494657489826e-14	2.34917994115176e-11	pseudobulk	edgeR	LRT	Supp_layer_neurons
Olfm3	0.918476802489475	7.48813447207846	58.208461696981	2.3576281085407e-14	2.34917994115176e-11	pseudobulk	edgeR	LRT	Supp_layer_neurons
Cftr	1.66257634301353	1.6487016245777	57.2538037991333	3.83047556829612e-14	3.66407970960933e-11	pseudobulk	edgeR	LRT	Supp_layer_neurons
Pkib	0.909277433423928	4.76898407735586	54.7707887710601	1.35438950533742e-13	1.24572579348612e-10	pseudobulk	edgeR	LRT	Supp_layer_neurons
Xlr3b	1.67461375368237	1.11796118494782	54.4029330870696	1.63318917724751e-13	1.44652170313693e-10	pseudobulk	edgeR	LRT	Supp_layer_neurons
Sgcd	-0.91794191104632	9.15719107428505	54.2761534253906	1.74203085567804e-13	1.48781878152446e-10	pseudobulk	edgeR	LRT	Supp_layer_neurons
Adamts18	-1.76827616426221	4.80082401715869	54.0243580815788	1.98019508646523e-13	1.63290983785275e-10	pseudobulk	edgeR	LRT	Supp_layer_neurons
Wwc1	-0.857878472067452	6.95817048823094	53.418641685493	2.69527041408653e-13	2.14848988941551e-10	pseudobulk	edgeR	LRT	Supp_layer_neurons
Slc25a1	-1.22553306009666	3.62112551665755	53.3247874168754	2.82716572086939e-13	2.18093035641518e-10	pseudobulk	edgeR	LRT	Supp_layer_neurons
Kcnab3	1.1105553520979	3.12596442044768	52.5928820645665	4.10373835718478e-13	3.06677497105365e-10	pseudobulk	edgeR	LRT	Supp_layer_neurons
Lsamp	-0.803756218019068	12.6180293455178	52.1456332164375	5.1533323762734e-13	3.73444819533945e-10	pseudobulk	edgeR	LRT	Supp_layer_neurons
Pla2g5	-1.54037347487256	1.01372899836443	51.679279082516	6.53488010030526e-13	4.5963271387853e-10	pseudobulk	edgeR	LRT	Supp_layer_neurons
Stard5	1.92420279481459	1.12293359035064	51.0696268899955	8.91470647181138e-13	6.09103687333992e-10	pseudobulk	edgeR	LRT	Supp_layer_neurons
Sptssb	1.32749306488655	1.38943525189673	50.9703077277446	9.37737964169585e-13	6.2291849097643e-10	pseudobulk	edgeR	LRT	Supp_layer_neurons
Eya1	1.39903531084226	2.019657645817	50.7013678528484	1.07544583439703e-12	6.95086802264071e-10	pseudobulk	edgeR	LRT	Supp_layer_neurons
Gm12371	1.11206676038306	4.06124647747538	50.533762416687	1.17132299724581e-12	7.37132056740428e-10	pseudobulk	edgeR	LRT	Supp_layer_neurons
Sgpp2	0.950312102504839	4.42604267190182	49.6750405628228	1.81439510534839e-12	1.11254986023849e-09	pseudobulk	edgeR	LRT	Supp_layer_neurons
