	ensembl_gene_id	mgi_symbol	chromosome_name	start_position	end_position	strand	gene_biotype	baseMean	log2FoldChange	lfcSE	pvalue	padj	isTF
1	ENSMUSG00000059741	Myl3	9	110570929	110598866	1	protein_coding	1503.61935629	-1.17513326292563	0.106997144599253	1.15521365690282e-31	1.41536777243733e-27	NA
2	ENSMUSG00000069763	Tmem100	11	89921174	89927334	1	protein_coding	268.096280226701	1.92562682930209	0.174158981243489	1.89710051448768e-30	1.16216377517515e-26	NA
3	ENSMUSG00000030541	Idh2	7	79744594	79765140	-1	protein_coding	2581.77399329067	-0.851978676267503	0.0784208333252149	6.56454067668886e-30	2.68095841235973e-26	NA
4	ENSMUSG00000109495	Gm47692	7	5130395	5132355	-1	processed_pseudogene	572.66018550776	-1.10746827242548	0.125501702586257	4.52013695460198e-22	1.38451794919459e-18	NA
5	ENSMUSG00000021622	Ckmt2	13	92001506	92025004	-1	protein_coding	9518.35143576142	-0.849516466799601	0.0953995406572929	1.5897149664647e-21	3.89543755382511e-18	NA
6	ENSMUSG00000003477	Inmt	6	55147611	55152028	-1	protein_coding	272.212172027161	1.34203790487668	0.157815063046366	7.59697504952841e-21	1.5513023051137e-17	NA
7	ENSMUSG00000022186	Oxct1	15	4055865	4184826	1	protein_coding	3713.92629288286	-0.896533329258933	0.105864720579326	5.85729218769337e-20	1.0251934840517e-16	NA
8	ENSMUSG00000111684	Gm8543	9	38985398	38987031	1	processed_pseudogene	324.509914043171	-1.26573961569616	0.156585590610155	1.88173991004811e-19	2.88188467223867e-16	NA
9	ENSMUSG00000031167	Rbm3	X	8005214	8012119	-1	protein_coding	1171.13307967411	0.909981012891285	0.114401031723951	3.59056746266058e-18	4.46350198396493e-15	NA
10	ENSMUSG00000015243	Abca1	4	53030787	53159895	-1	protein_coding	354.396360455433	0.994404458806875	0.126308853119016	3.6430803003305e-18	4.46350198396493e-15	NA
11	ENSMUSG00000028150	Rorc	3	94280101	94305583	1	protein_coding	1178.71127379642	0.764630894889447	0.0968131422695746	5.87816527987472e-18	6.54720736445682e-15	Yes
12	ENSMUSG00000028464	Tpm2	4	43514711	43523765	-1	protein_coding	51623.1167539109	-0.707954384119689	0.0907254605854819	9.01348752046599e-18	9.20277075839577e-15	NA
13	ENSMUSG00000028211	Trp53inp1	4	11156431	11174379	1	protein_coding	236.470455917486	1.32072648565234	0.174841957394439	1.57324044877524e-17	1.48271861372263e-14	NA
14	ENSMUSG00000009863	Sdhb	4	140688514	140706504	1	protein_coding	4071.53081603483	-0.56174001375632	0.0733131287078768	2.68186857018998e-17	2.34701812299769e-14	NA
15	ENSMUSG00000046598	Bdh1	16	31241098	31277719	1	protein_coding	392.956987721142	-1.13132352154004	0.154877534600951	1.04690692032816e-16	8.55113572524043e-14	NA
16	ENSMUSG00000015488	Cacfd1	2	26899938	26911101	1	protein_coding	955.454787745137	0.631107834279128	0.0886654974693013	1.22137773362338e-15	8.80254117197271e-13	NA
17	ENSMUSG00000000078	Klf6	13	5911481	5920393	1	protein_coding	539.471753933608	0.949382257888195	0.132918126564771	1.20292409539614e-15	8.80254117197271e-13	Yes
18	ENSMUSG00000037887	Dusp8	7	141633227	141649580	-1	protein_coding	429.96632419431	-1.15118296291201	0.166339846979822	1.5801158403578e-15	1.07553218200354e-12	NA
19	ENSMUSG00000011179	Odc1	12	17594795	17601506	1	protein_coding	2519.45768347238	0.690004447527539	0.0998196498161023	6.05789212939304e-15	3.90638391417492e-12	NA
20	ENSMUSG00000078486	Perm1	4	156300325	156305764	1	protein_coding	3265.7996663032	-0.523228961076518	0.0753690215126313	9.57355009106299e-15	5.86475678578519e-12	NA
21	ENSMUSG00000031972	Acta1	8	124618508	124621490	-1	protein_coding	281683.333275407	-0.615508343569769	0.0923885234176159	3.12457682136832e-14	1.82296739120975e-11	NA
22	ENSMUSG00000056366	Fabp3-ps1	10	86567851	86568252	-1	processed_pseudogene	207.353019683394	-1.29175958410001	0.202340229352182	5.92599268855467e-14	3.15675054000747e-11	NA
23	ENSMUSG00000006457	Actn3	19	4911244	4927937	-1	protein_coding	157658.086143592	0.569812206403667	0.0862640370955425	5.84633125528038e-14	3.15675054000747e-11	NA
24	ENSMUSG00000030246	Ldhb	6	142435975	142453683	-1	protein_coding	1907.42085156376	-0.491949138828811	0.0742233167165978	1.43860343974241e-13	7.34407055988499e-11	NA
